job_title,company_name,location,job_link,job_id,job_description
"Volunteer: Nature's Champion: Nature Counter App Developer, by CrowdDoing",CrowdDoing,"El Dorado Hills, CA (Remote)",https://www.linkedin.com/jobs/view/3771837341/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=EknMGVcngQ1A3u4HuFfwNA%3D%3D&trk=flagship3_search_srp_jobs,3771837341,"About the job
            
 
Match4Action connects those wanting to volunteer their skills with those in need for remote or local project support, advice, collaboration and mentoring.Our smart technology platform uses the latest machine learning, artificial intelligence and virtual assistants to match the demand for resources for social impact with the skills and resources available, anywhere in the world. We use blockchain to create and manage a social impact currency.This unique, self sustainable open platform has one key purpose accelerating social impact through collaboration and linking local projects with our global presence.CrowdDoing aims to leverage micro-leadership, service learning and massively multi-disciplinary collaboration supported with project managers and human resource business partners. Collaborate with people whom you can learn from while changing the world virtually together.crowddoing.worldhttp //www.linkedin.com/company/m4a-foundationhttps //www.linkedin.com/company/crowddoing/https //www.facebook.com/Match4ActionFoundation/https //www.facebook.com/groups/219137818932726/Nature's Champion Nature Counter App Developer, by CrowdDoingNature's Champion Nature Counter App DeveloperHelp democratize access to nature's mental and physical health benefits by developing CrowdDoing's Nature Counter app. As a nature champion app developer, you'll code features like geo-location tracking of time spent in parks and green spaces, goal-setting and reminders, progress dashboards, and social connections.Your development work will bring life to our vision of empowering all people to integrate the well-documented public health dividends of 120 minutes per week in nature into their lifestyles. You'll help build an inclusive community focused on collectively achieving recommended nature dose targets, encouraging friends, forming hiking groups, and celebrating successes.In this role you can flex your software engineering talents for social impact, learning cutting edge technical and encryption skills. Our international team offers opportunities to develop your abilities in React Native, UI/UX design, cloud databases, privacy, citizen science, gamification, and design thinking for behavior change.You'll gain real-world coding practice while working alongside experienced developers to evolve Nature Counter from concept to launch. Our collaborative team culture values your contributions, empowers leadership development, and supports volunteers through ongoing mentorship. Join us in creating positive change as a Nature's Champion app developer!This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.

Desired Skills and Experience
                This position requires the following skills: Analytics, IT Management, IT Strategy, Mobile Programming, Security / Network Administration, Software Engineering"
"Application Developer Intern (USA-FL-Melbourne; USA-TX-Rockwall; USA-NY-Rochester, USA-UT-Salt Lake)",L3Harris Technologies,"Melbourne, FL (On-site)",https://www.linkedin.com/jobs/view/3712338421/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=MlE4Hsl4V6eQsLINuAofKA%3D%3D&trk=flagship3_search_srp_jobs,3712338421,"About the job
            
 
Description:Job Title: Application Development Intern (Various Locations)Job Code: CHQ20230108-104221Job Location: USA-FL-Melbourne; USA-TX-Rockwall; USA-NY-Rochester, USA-UT-Salt LakePosition Summary: Maintain current SCCM systems environment for an enterprise organizationImplement software package and OS Image development, testing, deployment, and issue trackingAnalyze the current enterprise configuration management implementation and provide a status report before and after remediation actions are engineeredAnalyze SCCM log files, provide patch management support, and implement off‐hours maintenance windowsInterpret a customer’s description of a problem and determine possible solutionsEducate and train customers in the use of the system installedCoordinate with hardware and software vendors to troubleshoot problemsCreate and maintain detailed documentation on procedures for all systems
Qualifications: Pursuing a Bachelor’s degree in Information Technology, Computer Engineering, Computer Science or related fieldGPA of 3.0 or greater
Preferred Skills: Ability to communicate ideas in both technical and user-friendly languageHighly self-motivated and directed, with keen attention to detailProven analytical and creative problem-solving abilitiesAble to prioritize and execute tasks in a high-pressure environmentStrong customer service orientationAbility to work in a team oriented, collaborative environmentKnowledge of Desktop Operating System Deployment processes, Windows 7 and 10 image development, and software/application packaging"
Project Coordinator - Application Development,Applied Medical,"Rancho Santa Margarita, CA (On-site)",https://www.linkedin.com/jobs/view/3772663730/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=R%2B%2FzQVzSe5btKC4a4CXQKQ%3D%3D&trk=flagship3_search_srp_jobs,3772663730,"About the job
            
 
Applied Medical is a new generation medical device company with a proven business model and commitment to innovation fueled by rapid business growth and expansion. Our company has been developing and manufacturing advanced surgical technologies for over 35 years and has earned a strong reputation for excellence in the healthcare field. Our unique business model, combined with our dedication to delivering the highest quality products, enables team members to contribute in a larger capacity than is possible in typical positions.Position DescriptionAs a Project Coordinator, you will be responsible for working within the framework of a team and performing the following activities: Assist and manage projects involving various areas on Information Technology and InfrastructureCollaborate with cross-functional team members while working on Applications and Infrastructure projectsSupport all stages of the project life cycle, including scope, schedule, risks, issues, and budget using established methodologiesPrepare initial project discovery detailsDevelop and prepare high level project plans for all phases of the project life cycle and balance the allocation of resources to ensure timelines are metProactively manage project changes in project scope, issues, and risks, and prepare contingency plansPrioritize project deliverables and artifactsCreate and maintain project meeting minutes to document key decisions and action itemsExercise sound judgment in planning, organizing, and managing projectsFacilitate project communication and change management activitiesCollaborate with business analysts and internal customers to gather required project needsTrack and reporting project progress to all stakeholdersPrepare, review, and maintain project documentation and reports
Position RequirementsThis position requires the following skills and attributes: Concurrently manage multiple projects and prioritize workloads while working interdependently within a cross-functional teamExtract data from multiple sources and prepare various reportsPossess proficient analytical and problem-solving skillsDemonstrate effective written and verbal communication skillsWork well in a fast-paced and quick-changing environmentKnowledge of a variety of technical platforms and methodologiesProficient with Microsoft Applications, including Teams, Excel, and Project
BenefitsThe base compensation range for this role is $65000 - $100000 / year for the position in California. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience, certifications, and specific work location. The range displayed reflects the minimum and maximum target for new hire salaries in Californiabased on the date of this job posting. Your recruiter can share more about the specific salary range compensation package during your hiring process.Please understand that the compensation range may be modified in the future. Each amount of pay is considered to be wages or compensation once such amount is earned and determinable. The amount and availability of any bonus, commission, benefit or any other form of compensation may be modified at the Company’s sole discretion, consistent with the law.The total compensation package for this position may also include [bonuses and/or other applicable incentive compensation plans].Our total reward package also includes the following:  Training and mentorship with ongoing learning and development courses On-campus wellness activities Comprehensive medical and dental and vision coverage Education reimbursement program 401(k) program with discretionary employer match Generous vacation accrual and paid holiday schedule
All compensation and benefits are subject to the requirements and restrictions set forth in the applicable plan documents and any written agreements between the parties.Equal Opportunity EmployerApplied Medical is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, disability (mental and physical), exercising the right to family care and medical leave, gender, gender expression, gender identity, genetic information, marital status, medical condition, military or veteran status, national origin, political affiliation, race, religious creed, sex (including pregnancy, childbirth, breastfeeding and related medical conditions), or sexual orientation, or any other status protected by federal, state or local laws in the locations where Applied Medical operates."
Application Developer - AVP - Hybrid,Citi,"Tampa, FL (Hybrid)",https://www.linkedin.com/jobs/view/3779196140/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=u%2B05jv53sCoJok7RxGQyuA%3D%3D&trk=flagship3_search_srp_jobs,3779196140,"About the job
            
 
Job Id: 23710147About Citi:Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries and jurisdictions. Citi provides consumers, corporations, governments, and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction services, and wealth management.As a bank with a brain and a soul, Citi creates economic value that is systemically responsible and in our clients’ best interests. As a financial institution that touches every region of the world and every sector that shapes your daily life, our Operations & Technology teams are charged with a mission that rivals any large tech company. Our technology solutions are the foundations of everything we do from keeping the bank safe, managing global resources, and providing the technical tools our workers need to be successful to designing our digital architecture and ensuring our platforms provide a first-class customer experience. We reimagine client and partner experiences to deliver excellence through secure, reliable, and efficient services.Our commitment to diversity includes a workforce that represents the clients we serve from all walks of life, backgrounds, and origins. We foster an environment where the best people want to work. We value and demand respect for others, promote individuals based on merit, and ensure opportunities for personal development are widely available to all. Ideal candidates are innovators with well-rounded backgrounds who bring their authentic selves to work and complement our culture of delivering results with pride. If you are a problem solver who seeks passion in your work, come join us. We’ll enable growth and progress together.Job DescriptionThe Applications Developer is an intermediate level position responsible for participation in the establishment and implementation of new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to contribute to applications systems analysis and programming activities.Responsibilities: Conduct tasks related to feasibility studies, time and cost estimates, IT planning, risk technology, applications development, model development, and establish and implement new or revised applications systems and programs to meet specific business needs or user areasMonitor and control all phases of development process and analysis, design, construction, testing, and implementation as well as provide user and operational support on applications to business usersUtilize in-depth specialty knowledge of applications development to analyze complex problems/issues, provide evaluation of business process, system process, and industry standards, and make evaluative judgementRecommend and develop security measures in post implementation analysis of business usage to ensure successful system design and functionalityConsult with users/clients and other technology groups on issues, recommend advanced programming solutions, and install and assist customer exposure systemsEnsure essential procedures are followed and help define operating standards and processesServe as advisor or coach to new or lower level analystsHas the ability to operate with a limited level of direct supervision. Can exercise independence of judgement and autonomy. Acts as SME to senior stakeholders and /or other team members.Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications: 4+ years of relevant experience3+ years experience in systems analysis and programming of software applications3+ years experience in managing and implementing successful projectsWorking knowledge of consulting/project management techniques/methodsAbility to work under pressure and manage deadlines or unexpected changes in expectations or requirementsGood to have experience in developing solutions with Archer skills
Education: Bachelor’s degree/University degree or equivalent experience
Additional information may be found at www.citigroup.com| Twitter: @Citi | YouTube: www.youtube.com/citi| Blog: http://blog.citigroup.com| Facebook: www.facebook.com/citi| LinkedIn: www.linkedin.com/company/citi.-------------------------------------------------Job Family Group: Technology-------------------------------------------------Job Family:Applications Development------------------------------------------------------Time Type:Full time------------------------------------------------------Primary Location:Tampa Florida United States------------------------------------------------------Primary Location Salary Range:$96,960.00 - $145,440.00------------------------------------------------------Citi is an equal opportunity and affirmative action employer.Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.View the EEO Policy Statement.View the Pay Transparency Posting"
Application Development Advisor,Dice,United States (Remote),https://www.linkedin.com/jobs/view/3780563796/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=FFBOY%2BzLrn371puWjlbqmA%3D%3D&trk=flagship3_search_srp_jobs,3780563796,"About the job
            
 
Dice is the leading career destination for tech experts at every stage of their careers. Our client, Randstad Digital, is seeking the following. Apply via Dice today!job summary:Enterprise Healthcare client has an immediate opening for a highly motivated Application Development Advisor to join their dynamic and growing team. All qualified candidates are encouraged to apply!Quality Datamart maintenance and support for all regulatory, Stars, and operational SNP and HRA reporting ,SSRS Reporting for SNP Model of Care / HRA / Clinical Programslocation: Nashville, Tennesseejob type: Contractsalary: $46.86 - 56.86 per hourwork hours: 8am to 4pmeducation: High Schoolresponsibilities:The Application Development Advisor role has the following components:  Researches and evaluates alternative solutions and recommends the most efficient and cost effective application programming solution. Develops, documents, and follows standard coding practices. Provides comprehensive consultation to business units and IT management and staff at the highest technical level on all phases of data integration processes and data management. Key Responsibilities: Application Development team members within the Quality Apps Support team are responsible for the following: Design new or modified code development, tests, debugs, and documents programs Conduct development work required in a comprehensive manner consistent with our best practices and standards Coordinate with systems analyst and other developers on technical delivery Proactively learn ways to improve systems, reducing costs and maximizing opportunities Required Experience /
qualifications: Experience level: ManagerEducation: High School (required)
skills: SSISSSISSQL DBASSRSSQL
Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.At Randstad Digital, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants. If you require a reasonable accommodation to make your application or interview experience a great one, please contactPay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc. In addition, Randstad Digital offers a comprehensive benefits package, including health, an incentive and recognition program, and 401K contribution (all benefits are based on eligibility)."
Application Development Advisor,Dice,United States (Remote),https://www.linkedin.com/jobs/view/3780564604/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=1VzCNMD%2FJqPLTYaXIqOFAQ%3D%3D&trk=flagship3_search_srp_jobs,3780564604,"About the job
            
 
Dice is the leading career destination for tech experts at every stage of their careers. Our client, Randstad Digital, is seeking the following. Apply via Dice today!job summary:Enterprise Healthcare client has an immediate opening for a highly motivated Application Development Advisor to join their dynamic and growing team. All qualified candidates are encouraged to apply!Quality Datamart maintenance and support for all regulatory, Stars, and operational SNP and HRA reporting ,SSRS Reporting for SNP Model of Care / HRA / Clinical Programslocation: Nashville, Tennesseejob type: Contractsalary: $46.86 - 56.86 per hourwork hours: 8am to 4pmeducation: High Schoolresponsibilities:The Application Development Advisor role has the following components:  Researches and evaluates alternative solutions and recommends the most efficient and cost effective application programming solution. Develops, documents, and follows standard coding practices. Provides comprehensive consultation to business units and IT management and staff at the highest technical level on all phases of data integration processes and data management. Key Responsibilities: Application Development team members within the Quality Apps Support team are responsible for the following: Design new or modified code development, tests, debugs, and documents programs Conduct development work required in a comprehensive manner consistent with our best practices and standards Coordinate with systems analyst and other developers on technical delivery Proactively learn ways to improve systems, reducing costs and maximizing opportunities Required Experience /
qualifications: Experience level: ManagerEducation: High School (required)
skills: SSISSSISSQL DBASSRSSQL
Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.At Randstad Digital, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants. If you require a reasonable accommodation to make your application or interview experience a great one, please contactPay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc. In addition, Randstad Digital offers a comprehensive benefits package, including health, an incentive and recognition program, and 401K contribution (all benefits are based on eligibility)."
R & D Application Development Specialist,UFP Industries,"Selma, AL (Hybrid)",https://www.linkedin.com/jobs/view/3688943983/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=YOZmWJ8u8qExBFty3rgaig%3D%3D&trk=flagship3_search_srp_jobs,3688943983,"About the job
            
 
Join our operations team where you will be influential in shaping our business strategy and ensuring we have the most effective operations. Be your own boss by creating your own career path and pushing your professional limits.Position Title:R&D Application Development SpecialistFLSA Classification:Exempt – SalariedJob Code:Employee Class:SalariedDepartment:DeckoratorsReports to:Application Development LeadGeneral SummaryThe R&D Application Development Specialist is responsible for development of new products meeting customer performance requirements. The incumbent will drive product development projects through conception to implementation.Works under general direction of the Application Development Leader; exercises discretion and judgment on work priority on a regular basis; and high degree of creativity is expected.Principal Duties And Responsibilities Functions as a member of the R&D application development discipline and works to execute the team’s strategic objectives.Researches and develops new technologies to develop products with competitive advantage.Works with the Application Development Leader to develop, oversee, and complete projects.Develops and executes experiments at the appropriate scale, including laboratory scale, production scale, and field testing. Collects, interprets, and reports data appropriately.Identifies and qualifies technical approaches to deliver products meeting customer requirements. Generates prototypes, work with the broader organization on scaling to production scale. Seeks the best products for customers; ensures development of the right specifications and meeting cost targets.Troubleshoots gaps in product performance and helps develop future solutions to these problems.Maintains an up-to-date knowledge of competitive building product offerings; identifies opportunities for new product offerings.Develops understanding of product testing methods and product end use requirements.Prepares various reports as required.Performs other duties as required.
Job SpecificationsKnowledge Minimum Bachelor degree in engineering or comparable technical field.Minimum 3-5 years experience in product development, experience in plastics highly preferred.Experience in product testing techniques.Knowledge of building products and practices preferred.Strong technical orientation, able to use and build on their technical education, training, and experience to perform well in an R&D work environment.Working knowledge of Microsoft Office including Excel, Word, and OutlookPreferred experience and knowledge on UFP’s organization, culture, and product lines.
Skills And Abilities Proficiency in the use of the English language in reading, writing and speaking. Excellent oral and written communication skills.Ability to successfully interact with all organizational levels and the public.Demonstrated proficiency to manage multiple tasks, pay attention to details, to set priorities, and to meet deadlines.Ability to understand and follow written and oral instruction, and ability to provide written and oral instructions.Demonstrated ability to be mobile in the work environment.Ability to apply business math to manufacturing processes.Ability to use a computer, and proficiency of the use of MS Office and other business and engineering softwareDemonstrated skill in improving processes and develop efficiencies in manufacturing processes
Conduct Self-managing; works well under little supervisionHighly motivated and enthusiasticGood interpersonal skills and good communicatorProcess orientedStrong organization skills and detail orientedAble to handle fast-paced work environmentBe a team player and support the Company’s goalsConducts in a professional mannerAbility to pass a drug test
Working ConditionsWorking environment is favorable. Requires standing and walking for 75% of the time, talking, hearing and seeing are essential duties; sitting at a desk for long periods of time are also required. Travel may be required.Disclaimer StatementThe above information on this description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.“UFP Industries and its subsidiaries and affiliates are equal opportunity employers. All qualified candidates will receive consideration without regard to race, color, religion, sex or national origin”The Company is an Equal Opportunity Employer."
Application Development | Level 3 (USD),FinTech LLC,"New York, NY (On-site)",https://www.linkedin.com/jobs/view/3720374403/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=KsizdBTaSkADmqxaujTQbQ%3D%3D&trk=flagship3_search_srp_jobs,3720374403,"About the job
            
 
About Client:Client is a global financial services firm that provides a wide range of investment banking, securities, wealth management, and investment management services. It is a prominent global financial services firm with a rich history and a strong presence in the financial industry.The Client is committed to corporate responsibility and sustainability. It aims to make a positive impact on society through various initiatives, such as promoting environmental sustainability, supporting diversity and inclusion, and engaging in philanthropic activities.Rate: $100.19/Hr.Job Description: This role is part of the Financial Advisor Monitoring and Registration Department, within LCG.This team supports the Risk and Compliance divisions with tools and applications to assist them with their task of monitoring Financial Advisor’s compliance with the Firm’s policies and procedures. As a Business Analyst, you will be responsible for providing business analysis, project management, and data analysis support for tool enhancements: eliciting and documenting business requirements, user acceptance testing, data analysis, and product support. The ideal candidate should have the skills listed below but in addition should be a self- driven, dedicated individual who works well in a team and thinks and acts strategically. When faced with a problem, the candidate should be able to ask questions and leverage the skills and expertise of those around them.
Responsibilities: Elicit, analyze, generate Business requirements documents (including Agile user stories, proof of concept models, and supporting documentation)Analyze data sets to determine data gaps and work with cross functional teams to bridge the gapLiaise with the development team to ensure the product is developed according to specificationsConduct Behavior-Driven Development (BDD), write and execute User Acceptance Testing (UAT) test planCreate and manage the overall project plan at the project level; and escalate delays to the program lead.
Skills Required: Bachelor’s Degree in Computer ScienceMinimum 10 years of experience in global organizations as a Technical Business Analyst.Proficiency in Data Analysis, with working experience in SQL and relational databasesEstablished technical knowledge in software development life cycle and agile methodologies.Strong communication skills, both verbal and written; as well as work in an international team setting.Collaborate effectively across a variety of IT and Business groups, across regions and roles.Self-motivated individual and creative thinker who will take ownership of tasks assigned.Ability to problem solve and have creative solutions in challenging environmentsAble to thrive in a fast-paced, high energy, demanding and team-orientated environmentManage and delegate workload through the teamGood customer service skills. Ability to deal with difficult situations gracefully.Experience in trade lifecycles and asset classes, Equity, Fixed Income, Options, FuturesUnderstanding of Compliance surveillance platforms (Actimize, MANTAS, Sungard) and their models, Wash trades, Marking the Open/Close, Spoofing, Insider Trading, etc.
Skills Desired: IT Project Management and SDLC knowledge/experience (Waterfall, Agile/Scrum) and experience using BDD.Experience working in medium to large-scale development projects.Knowledge of trades data, positions data, reference data.Experience in Nasdaq SMARTS platform.
About ApTask:Join ApTask, a global leader in workforce solutions and talent acquisition services, as we shape the future of work. We offer a comprehensive suite of offerings, including staffing and recruitment services, managed services, IT consulting, and project management, providing unparalleled opportunities for professional growth and development. As a member of our dynamic team, you'll have the chance to connect businesses with top-tier professionals, optimize workforce performance, and drive success for our clients across diverse industries. If you are passionate about excellence, collaboration, and innovation, and aspire to make a meaningful impact in the world of work, come join us at ApTask and be a part of our mission to empower organizations to thrive.Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview. Candidate Data Collection Disclaimer:At ApTask, we prioritize safeguarding your privacy. As part of our recruitment process, certain Personally Identifiable Information (PII) may be requested by our clients for verification and application purposes. Rest assured, we strictly adhere to confidentiality standards and comply with all relevant data protection laws. Please note that we only collect the necessary information as specified by each client and do not request sensitive details during the initial stages of recruitment. If you have any concerns or queries about your personal information, please feel free to contact our recruitment team at businessexcellence@aptask.com."
"Python Web Application Development (Django) :: Jersey City, NJ (Onsite) :: 12 Months",TekIntegral,"Jersey City, NJ (On-site)",https://www.linkedin.com/jobs/view/3750894911/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=xhNJcnbuGBsckSS7dwYXGw%3D%3D&trk=flagship3_search_srp_jobs,3750894911,"About the job
            
 
Title: Python Web Application Development (Django)Duration: 12 monthsLocation: Onsite Jersey City, NJ. Local candidates needed! Mode of Interview: Video interview--- need local folksTop Skills' DetailsPython Web Application Development (Django)Javascript, React, HTMLJob DescriptionAs part of a digital transformation, our client a multinational banking and financial services institution is seeking and experienced Full Stack Python Developer to join their technology group. This person will work closely with the enterprise risk department to build out solutions for data sourcing, analytics and reporting frameworks.Job Responsibilities Develop highly scalable applications in Python/Django framework.Create and deploy applications in azure environment with various interconnected azure components.Understand and enhance front-end applications using JavaScript (Vue and/or React JS), HTML5 and CSS3.Exposure to Power BI tools is highly desirable.Identify and fix bottlenecks that may arise from inefficient code.Knowledge of user authentication and authorization between multiple systems, servers and environments.Ensure that programs are written to the highest standards (e.g., Unit Tests) and technical specifications.Documentation of the key aspects of the project.Ability to collaborate on projects and work independently when required.
Qualifications 5+ years of prior experience as a developer in the required technologiesSolid organizational skills, ability to multi-task across different projectsExperience with Agile methodologiesSkilled at independently researching topics using all means available to discover relevant informationAbility to work in a team environmentExcellent verbal and written communication skillsSelf-starter with ability to multi-task and to maintain momentum
Regards,Suryansh TomarTechnical RecruiterTekIntegral Inc.500 N Central Expwy #500GPlano, TX USA 75074(469) 895-6794 Extn. 794stomar@tekintegral.comwww.tekintegral.com"
Software Apps Developer,Mississippi State University,"Starkville, MS (Hybrid)",https://www.linkedin.com/jobs/view/3673608746/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4J0Wn0DFWNcxAo6N7Q08yg%3D%3D&trackingId=mPtk5bCAKBqr1jM8bSuznw%3D%3D&trk=flagship3_search_srp_jobs,3673608746,"About the job
            
 
Position FunctionThe Software Applications Developer is responsible for analyzing software needs, designing, creating, coding, and testing application software from multiple platforms to serve the needs of the MSU Extension service and its clientele. This includes working closely with other faculty and staff of MSU Extension to determine optimum programming solutions for clientele. This position works closely together with members of technical teams for programming and hardware support. Salary Grade : 16Please see Staff Compensation Structure or Skilled Crafts and Service Maintenance Compensation Schedule for salary ranges. For salary grade UC, these positions are ""Unclassified"" and salary ranges are determined by the hiring department.Essential Duties And ResponsibilitiesWork within a software applications development team to use software technologies to develop applications to solve problems of Extension staff and clientele. This includes being fully involved with all technical activities within the development team (software development life cycle activities, code reviews, research, etc.).The software applications developer will perform the following: Interview clientele or other staff to determine exact needs and specifications of real world problems and develop concepts and strategies for development of application software to solve the problem; determine best software platform for individual programming problems (such as mobile device, web-based, systems software, etc.); design, code, and test application software prototypes and interact with clientele to fully refine application software prototype into a final solution; create fully documented technical specifications for all applications developed and provide preliminary guidance on software operation to (user) documentation writers; provide status reports and updates of projects to project managers; establish standards and best practices; create software code libraries to be used across multiple applications and by other developers within the team; constantly monitor completed and in-progress applications and provide software patches and updates to insure all remain updated and secure.Minimum QualificationsEducation: Bachelor's degree in Computer Science, Computer Engineering, Computer Information Systems, Information Systems, Management Information Systems.Experience: One year as Programmer Analyst, Software Developer, Web Programmer, Web Application Developer, Computer Programmer, Student/Graduate student programmer or a member of a software development team, providing technical leadership/guidance/mentorship.Preferred QualificationsOne or more years experience developing mobile applications for the iOS and Android platforms. Direct experience using the Symfony frameworkKnowledge, Skills, And AbilitiesDemonstrable experience designing enterprise software and defining software systems in at least one of the following areas: ios Development, Android Development, PHP/WEB application development. A basic understanding of information systems, relational databases, object oriented programming, and backup and recovery procedures; demonstrated proficiency in one or more of the following languages: JAVA, C++, C#, PERL, PHP, PL/SQL, MySQL, Objective C, XCode; strong technical skills with SQL in a web setting; Experience in programing framework such as Symfony (PHP), Javascript libraries such as React, ability to analyze data, solve problems, and prioritize and organize work to achieve stated goals; excellent interpersonal and communication skills; basic understanding of user interaction design skills; ability to work independently and collaboratively; ability to communicate design rationale and build consensus; ability to prioritize and manage work to critical project timelines in a fast-paced environment; ability to develop new approaches to complex design problems; intermediate level skills in J2EE, IOS, SQL, or similar areas. Working Conditions and Physical Effort   Work is normally performed in a typical interior/office work environment. No or very limited exposure to physical risk. No or very limited physical effort required.
Instructions For ApplyingLink to apply: http://explore.msujobs.msstate.edu/Applicant must apply online at www.msujobs.msstate.edu by submitting the online application and attaching a cover letter, resume, current unofficial transcript and contact information for references.Any social security number included on requested transcripts should be redacted prior to submitting online.Screening DateFebruary 23, 2022.Equal Employment Opportunity StatementMSU is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, ethnicity, sex, religion, national origin, disability, age, sexual orientation, genetic information, pregnancy, gender identity, status as a U.S. veteran, and/or any other status protected by applicable law. We always welcome nominations and applications from women, members of any minority group, and others who share our passion for building a diverse community that reflects the diversity in our student population.What do I do if I need an accommodation?In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Mississippi State University, please contact the Department of Human Resources Management at tel: (662) 325-3713 or ada@hrm.msstate.edu .If you have any questions regarding this policy, contact the Department of Human Resources Management at (662) 325-3713 or ada@hrm.msstate.edu . Upon request, sections of this job listing are available in large print, and readers are available to assist the visually impaired."
